,nodo,x_long,y_lat,division,2017,2018,2019,2020,2021,2022,2023,2024
0,01TOP-230,-99.1598469624,19.1576970616,VALLE DE MEXICO SUR,0.068,0.0684,0.00959,0.061,0.017939999999999998,0.03215,0.05507,0.04972000000000001
1,01COA-230,-99.127607737,19.2703701763,VALLE DE MEXICO SUR,0.517,1.0749000000000002,0.5685549999999999,1.4194,0.608095,0.76099,1.0784500000000001,1.30443
2,01CTG-230,-99.1668293,19.3047007,VALLE DE MEXICO NORTE,0.0,0.0,0.0,0.0,0.0,0.0,0.01595,0.0027
3,01TAX-230,-99.1492278853,19.3369446583,VALLE DE MEXICO SUR,1.4145999999999999,2.11879,0.752405,0.66219,0.602135,1.0273599999999998,0.72415,1.07511
4,01ANS-85,-99.1452942,19.3459507,VALLE DE MEXICO SUR,0.3406,0.66411,0.364655,0.16679,0.30756,0.30681,0.32015000000000005,0.7513
5,01NAR-230,-99.1513127,19.391616,VALLE DE MEXICO CENTRO,0.324,0.9522999999999999,0.248075,0.0,0.0,0.0,0.0,0.0
6,01VER-230,-99.1500555046,19.4027395263,VALLE DE MEXICO CENTRO,0.1156,0.74899,0.267175,0.19937,0.21303,0.34342,0.25936000000000003,1.03535
7,01JAM-85,-99.1306183728,19.4094571462,VALLE DE MEXICO CENTRO,0.24209999999999998,0.1706,0.03508,0.0368,0.26897,0.20095000000000002,0.23906,0.49410000000000004
8,01INN-85,-99.1505111,19.4228583,VALLE DE MEXICO CENTRO,0.034,0.05331,0.02653,0.08667,0.01998,0.00714,0.05537,0.14904
9,01INS-85,-99.1633188,19.4236015,VALLE DE MEXICO NORTE,0.10690000000000001,0.03154,0.08244,0.04056,0.07478,0.5508299999999999,0.5660700000000001,2.27684
10,01CRS-230,-99.2434922968,19.2903851073,VALLE DE MEXICO SUR,3.3444000000000003,3.0077399999999996,0.7869299999999999,0.35113,0.23768999999999998,0.30815,0.32982999999999996,0.43234
11,01ODB-230,-99.1879476471,19.3098716613,VALLE DE MEXICO SUR,0.599,0.67402,1.461865,1.35771,0.9000900000000001,1.04373,0.6676,1.4180599999999999
12,01OLI-230,-99.2110019343,19.3398249843,VALLE DE MEXICO SUR,2.9093,3.15153,1.82572,0.90137,0.60587,1.73276,1.18554,1.26501
13,01KCR-230,-99.3036955,19.3410457,VALLE DE MEXICO CENTRO,0.034,0.027,0.14085,0.22941999999999999,0.024200000000000003,0.08881,0.038560000000000004,0.33298
14,01CJM-230,-99.3020525,19.3453395,VALLE DE MEXICO SUR,1.415,1.5303699999999998,1.06453,1.2878800000000001,0.5754,0.9719800000000001,1.04026,1.37716
15,01AGU-230,-99.2429277003,19.3548460998,VALLE DE MEXICO SUR,1.05,1.36192,0.39773000000000003,0.38658,0.31689999999999996,0.43918,0.7707,0.5095
16,01COY-230,-99.1708757685,19.3619215303,VALLE DE MEXICO CENTRO,0.9198,1.0849000000000002,0.643165,0.18641999999999997,0.0686745,0.07635000000000002,0.01502,0.0
17,01MOS-230,-99.2928417,19.3689575,VALLE DE MEXICO CENTRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,01CTD-230,-99.2516559827,19.3836251059,VALLE DE MEXICO CENTRO,1.5817999999999999,1.08025,0.724835,0.24256999999999998,0.26285000000000003,0.34497000000000005,0.42721000000000003,0.42449000000000003
19,01XOC-230,-99.0840991684,19.2994148887,VALLE DE MEXICO SUR,0.182,0.21380000000000002,0.33853999999999995,0.2926,0.16893,0.44604000000000005,0.62906,1.77421
20,01CUL-230,-99.1089421,19.336909,VALLE DE MEXICO SUR,0.0,0.0,0.0,0.09337999999999999,0.1913,0.02994,0.80324,0.54863
21,01IZT-230,-99.0925404,19.3588629,VALLE DE MEXICO SUR,0.053399999999999996,0.0696,0.159665,0.6379600000000001,0.11098,0.10837999999999999,0.84576,0.61894
22,01CRU-230,-99.059776829,19.3648872752,VALLE DE MEXICO SUR,0.007,0.382,0.13560999999999998,0.47809,0.63178,0.24921000000000001,0.79161,0.8013299999999999
23,01MAG-85,-99.0930478788,19.3812443788,VALLE DE MEXICO SUR,0.183,0.334,0.48207,0.047,0.0,0.0,0.0,0.0
24,01DAA-230,-99.1018541,19.3943597,VALLE DE MEXICO CENTRO,0.024,0.0162,0.0,0.00312,0.00312,0.0,0.0,0.0
25,01PNT-85,-99.0745031,19.4152415,VALLE DE MEXICO CENTRO,0.006,0.02631,0.08611,0.06273000000000001,0.11877,0.1226,0.40125,0.18289
26,01MZA-85,-99.1098256,19.4264684,VALLE DE MEXICO CENTRO,0.0707,0.038,0.20479999999999998,0.5529,0.452765,0.24564,0.04947,0.5706899999999999
27,01MER-230,-99.1201860365,19.434434456,VALLE DE MEXICO CENTRO,0.0606,0.113,0.2206,0.21359,0.20529999999999998,0.069,0.99372,0.6600900000000001
28,01OCE-230,-99.0865078,19.4441601,VALLE DE MEXICO CENTRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,01TYA-230,-99.191779724,19.3939009482,VALLE DE MEXICO CENTRO,0.1742,1.2147999999999999,0.47155,0.09287999999999999,0.25396,0.5590600000000001,0.43519,0.73344
