,nodo,x_long,y_lat,division,capacidadTotal,capacidadInstalada,capacidadDisponible
0,07CHQ-230,-109.4708279,29.6131868,BAJA CALIFORNIA,45.07,0.175319999790191,44.8946800002098
1,04LPN-115,-111.0551439,29.1237053,BAJA CALIFORNIA,2.2,0.0205624999999999,2.1794375
2,04PYE-115,-113.4018843,31.2735808,BAJA CALIFORNIA,2.01,0.14314999997616,1.866850000023839
3,04ORI-115,-113.5247535,31.3164825,BAJA CALIFORNIA,18.93,0.0739,18.8561
4,04LCH-115,-111.3503333,31.2171667,BAJA CALIFORNIA,5.1,0.019579999966621,5.080420000033378
5,04PPA-115,-113.3897189,31.5301718,BAJA CALIFORNIA,20.45,0.169419999933242,20.28058000006676
6,04SNY-115,-112.8681441728,31.863285785,BAJA CALIFORNIA,15.4,0.2571,15.1429
7,07SMN-115,-115.9092421893,30.5078218404,BAJA CALIFORNIA,3.6,0.0508199999523159,3.5491800000476843
8,07SAF-115,-114.8479771112,31.0279030361,BAJA CALIFORNIA,13.08,0.426869999985698,12.653130000014302
9,07TEE-69,-115.7827664,31.1392196,BAJA CALIFORNIA,10.4,0.642881001709456,9.757118998290544
10,07TRI-115,-115.779444,31.39,BAJA CALIFORNIA,1.9,0.53349,1.366509999999999
11,07GOR-161,-115.0989048,32.2434708,BAJA CALIFORNIA,47.82,0.2347849997234329,47.58521500027656
12,07RZC-161,-114.8375467103,32.5011117919,BAJA CALIFORNIA,65.0,0.350309998250005,64.64969000175
13,07STB-230,-115.4217356992,32.5882296894,BAJA CALIFORNIA,41.55,0.358815299756813,41.191184700243184
14,07CNA-69,-115.9327577,30.5295123,BAJA CALIFORNIA,14.38,1.2683849981796782,13.11161500182032
15,07SQN-115,-115.9874231359,30.7155414493,BAJA CALIFORNIA,5.1,0.8263000015354169,4.273699998464582
16,07COE-115,-116.20787,31.0661141,BAJA CALIFORNIA,0.5,0.33663000011444,0.16336999988556
17,07SVE-115,-116.2488612152,31.3241698733,BAJA CALIFORNIA,1.2000000000000002,0.07905,1.12095
18,07MND-115,-116.5714615166,31.7180702598,BAJA CALIFORNIA,9.66,0.356869999866489,9.303130000133509
19,07CIP-115,-116.5856951021,31.7769899113,BAJA CALIFORNIA,16.1,0.22001499984026,15.879985000159742
20,07GLL-115,-116.5926270112,31.8530857843,BAJA CALIFORNIA,19.719999999999995,1.543575000402939,18.176424999597057
21,07LOS-115,-116.5603590919,31.8741696237,BAJA CALIFORNIA,3.1000000000000005,0.0421,3.0579
22,07EDA-115,-116.6151319997,31.8793585484,BAJA CALIFORNIA,20.500000000000004,1.906544999334826,18.593455000665173
23,07ONG-69,-116.2727769,31.907989,BAJA CALIFORNIA,2.41,0.210759999756811,2.199240000243188
24,07JAT-115,-116.8608904909,32.0239417437,BAJA CALIFORNIA,10.52362000000477,0.89531999998093,9.62830000002384
25,07MSN-115,-116.8746049117,32.100309671,BAJA CALIFORNIA,2.7,0.1143,2.5857
26,07BJO-69,-116.266829,32.264412,BAJA CALIFORNIA,9.8,0.20816999995708,9.591830000042918
27,07MEP-230,-116.878250595,32.4451030445,BAJA CALIFORNIA,13.37,0.273810000261068,13.096189999738929
28,07FLO-69,-116.7839520496,32.472327587,BAJA CALIFORNIA,11.31,0.617474999437329,10.692525000562672
29,07PNU-115,-116.9361181943,32.247626243,BAJA CALIFORNIA,4.65,0.37344999949932,4.27655000050068
30,07POP-115,-117.0372644192,32.2952795901,BAJA CALIFORNIA,8.450000000000001,0.248476999731068,8.201523000268931
31,07RUB-69,-117.0100588,32.3911289,BAJA CALIFORNIA,13.14,0.336205000011917,12.803794999988076
32,07ENL-69,-116.9381604,32.4119246,BAJA CALIFORNIA,6.39,0.380979999313359,6.00902000068664
33,07JOY-115,-117.0033708,32.4448306,BAJA CALIFORNIA,10.23,0.495849999136929,9.734150000863073
34,07VLP-69,-117.0689907,32.4453479,BAJA CALIFORNIA,2.19,0.962675000603202,1.227324999396798
35,07PAF-69,-116.9853362099,32.4628785358,BAJA CALIFORNIA,19.08,1.1615500005292931,17.918449999470706
36,07PNM-115,-117.0162745,32.467784,BAJA CALIFORNIA,14.9,0.716234998555188,14.183765001444812
37,07SIO-69,-116.9253336815,32.4714523888,BAJA CALIFORNIA,14.260000000000002,0.616490000128746,13.643509999871254
38,07DRA-69,-117.0646525,32.4840972,BAJA CALIFORNIA,8.43,0.200564999949932,8.229435000050067
39,07LMS-69,-116.9447156766,32.491485994,BAJA CALIFORNIA,15.82,2.033585003910062,13.786414996089938
