u,v,weight,label
2,1,975,975
1,3,1400,1400
3,4,600,600
4,5,750,750
5,6,1450,1450
7,8,965,965
8,9,640,640
9,11,330,33
10,24,300,3000
11,17,550,550
11,10,550,550
12,9,450,450
12,13,400,400
12,16,2100,2100
14,13,100,100
21,16,1500,1500
14,16,1900,1900
17,24,1260,1260
24,26,1400,1400
25,24,1300,1300
26,30,1600,1600
30,25,300,300
22,23,1150,1000
6,22,1380,1380
23,24,1000,1000
18,25,1500,1500
19,18,1050,1050
19,20,1200,1200
20,30,1750,1750
23,26,700,700
27,23,2800,2800
23,28,700,700
29,28,600,600
29,31,2900,2900
34,31,3000,3000
36,34,3000,3000
33,34,1100,1100
33,32,750,750
28,26,700,700
38,41,1200,1200
41,42,800,800
42,43,825,825
43,45,48,48
42,44,250,250
41,44,206,206
